Group Stage Predictions,,,,
Group A,,,,
14-Jun,Germany,4,Scotland,1
15-Jun,Hungary,2,Switzerland,2
19-Jun,Scotland,1,Switzerland,1
19-Jun,Germany,2,Hungary,1
23-Jun,Switzerland,2,Germany,1
23-Jun,Scotland,2,Hungary,4
,,,,
Group B,,,,
15-Jun,Spain,2,Croatia,2
15-Jun,Italy,1,Albania,2
19-Jun,Croatia,4,Albania,2
20-Jun,Spain,2,Italy,7
24-Jun,Albania,1,Spain,2
24-Jun,Croatia,2,Italy,2
,,,,
Group C,,,,
16-Jun,Serbia,2,England,1
16-Jun,Slovenia,2,Denmark,1
20-Jun,Denmark,2,England,1
20-Jun,Slovenia,1,Serbia,2
25-Jun,England,1,Slovenia,2
25-Jun,Denmark,1,Serbia,2
,,,,
Group D,,,,
16-Jun,Poland,1,Netherlands,2
17-Jun,Austria,1,France,2
21-Jun,Poland,1,Austria,1
21-Jun,Netherlands,1,France,2
25-Jun,France,1,Poland,1
25-Jun,Netherlands,1,Austria,2
,,,,
Group E,,,,
17-Jun,Romania,1,Ukraine,1
17-Jun,Belgium,1,Slovakia,2
21-Jun,Slovakia,1,Ukraine,1
22-Jun,Belgium,1,Romania,2
26-Jun,Slovakia,1,Romania,1
26-Jun,Ukraine,2,Belgium,1
,,,,
Group F,,,,
18-Jun,Turkey,1,Georgia,2
18-Jun,Portugal,1,Czechia,1
22-Jun,Georgia,1,Czechia,2
22-Jun,Portugal,1,Turkey,1
26-Jun,Czechia,1,Turkey,1
26-Jun,Georgia,2,Portugal,1
,,,,
Knockout Stage Predictions,,,,
Round of 16,,,,
30-Jun,Croatia,Hungary,Croatia,
29-Jun,Germany,Slovenia,Germany,
01-Jul,Serbia,Slovakia,Serbia,
01-Jul,Austria,Ukraine,Austria,
02-Jul,Romania,Spain,Romania,
02-Jul,France,Czechia,France,
30-Jun,Georgia,Denmark,Georgia,
29-Jun,Switzerland,Italy,Italy,
,,,,
Quarterfinals,,,,
05-Jul,Croatia,Germany,Croatia,
05-Jul,Serbia,Austria,Serbia,
06-Jul,Romania,France,France,
06-Jul,Georgia,Italy,Italy,
,,,,
Semifinals,,,,
09-Jul,Croatia,Serbia,Croatia,
10-Jul,France,Italy,France,
,,,,
Final,,,,
14-Jul,Croatia,France,France,
,,,,
Additional Predictions,,,,
Top Goalscorer,Mbappe,,,
Best Goalkeeper,Lloris,,,
Player of Tournament,Kane,,,
Participant Name,Shahriar Nozari,,,
